Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,68.0269040822312
Albania,ALB,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,118.748340267328
Algeria,DZA,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,110.973016666667
American Samoa,ASM,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1
Angola,AGO,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,165.915950691498
Anguilla,AIA,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,2.7
Antigua and Barbuda,ATG,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,2.7
Argentina,ARG,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,16.5630878600487
Armenia,ARM,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,482.72
Aruba,ABW,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1.79
Australia,AUS,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1.304758
Austria,AUT,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,0.88519075860848
Azerbaijan,AZE,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1.7211
"Bahamas, The",BHS,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1
Bahrain,BHR,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,0.376
Bangladesh,BGD,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,80.4375416666667
Barbados,BRB,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,2
Belarus,BLR,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1.9318
Belgium,BEL,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,0.88519075860848
Belize,BLZ,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,2
Benin,BEN,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,582.074857964167
Bermuda,BMU,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,1
Bhutan,BTN,Market exchange rate (US$ = 1),EXR,SP.EXCHG.RATE.ICP:Exchange Rate Value,SP.EXCHG.RATE.ICP,65.1215686450659
