Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,..
Afghanistan,AFG,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,..
Afghanistan,AFG,Price level index (World = 100),PX.WL,1101120:Meat,1101120,..
Afghanistan,AFG,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,..
Afghanistan,AFG,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,..
Afghanistan,AFG,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,..
Afghanistan,AFG,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,..
Afghanistan,AFG,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,..
Afghanistan,AFG,Price level index (World = 100),PX.WL,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,..
Afghanistan,AFG,Price level index (World = 100),PX.WL,1101200:NON-ALCOHOLIC BEVERAGES,1101200,..
Afghanistan,AFG,Price level index (World = 100),PX.WL,1102100:ALCOHOLIC BEVERAGES,1102100,..
Albania,ALB,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,81.5099059800469
Albania,ALB,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,78.5967046357641
Albania,ALB,Price level index (World = 100),PX.WL,1101120:Meat,1101120,83.0448517946279
Albania,ALB,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,111.367026837355
Albania,ALB,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,87.0281540629991
Albania,ALB,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,91.4414256197824
Albania,ALB,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,82.5888810464922
Albania,ALB,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,72.0827158380162
Albania,ALB,Price level index (World = 100),PX.WL,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,88.7788072956388
Albania,ALB,Price level index (World = 100),PX.WL,1101200:NON-ALCOHOLIC BEVERAGES,1101200,92.512973706119
Albania,ALB,Price level index (World = 100),PX.WL,1102100:ALCOHOLIC BEVERAGES,1102100,83.8496625157008
Algeria,DZA,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,84.5109188955946
Algeria,DZA,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,64.6449457905757
Algeria,DZA,Price level index (World = 100),PX.WL,1101120:Meat,1101120,121.756363438895
Algeria,DZA,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,140.534308107827
Algeria,DZA,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,73.0920003350164
Algeria,DZA,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,67.914490372354
Algeria,DZA,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,82.0930889550091
Algeria,DZA,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,96.1819111609337
Algeria,DZA,Price level index (World = 100),PX.WL,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,69.8989914859659
Algeria,DZA,Price level index (World = 100),PX.WL,1101200:NON-ALCOHOLIC BEVERAGES,1101200,54.4682538388484
Algeria,DZA,Price level index (World = 100),PX.WL,1102100:ALCOHOLIC BEVERAGES,1102100,105.99773886739
American Samoa,ASM,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,..
American Samoa,ASM,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,..
American Samoa,ASM,Price level index (World = 100),PX.WL,1101120:Meat,1101120,..
American Samoa,ASM,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,..
American Samoa,ASM,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,..
American Samoa,ASM,Price level index (World = 100),PX.WL,1101150:Oils and fats,1101150,..
American Samoa,ASM,Price level index (World = 100),PX.WL,1101160:Fruit,1101160,..
American Samoa,ASM,Price level index (World = 100),PX.WL,1101170:Vegetables,1101170,..
American Samoa,ASM,Price level index (World = 100),PX.WL,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,..
American Samoa,ASM,Price level index (World = 100),PX.WL,1101200:NON-ALCOHOLIC BEVERAGES,1101200,..
American Samoa,ASM,Price level index (World = 100),PX.WL,1102100:ALCOHOLIC BEVERAGES,1102100,..
Angola,AGO,Price level index (World = 100),PX.WL,1101100:FOOD,1101100,166.186985032802
Angola,AGO,Price level index (World = 100),PX.WL,1101110:Bread and cereals,1101110,186.644924974504
Angola,AGO,Price level index (World = 100),PX.WL,1101120:Meat,1101120,128.174734253814
Angola,AGO,Price level index (World = 100),PX.WL,1101130:Fish and seafood,1101130,185.804988365986
Angola,AGO,Price level index (World = 100),PX.WL,"1101140:Milk, cheese and eggs",1101140,186.746104577785
